Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/21/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,4429.542553,4595.403557,4952.920447,5363.423026,5596.686433,5639.685783,6009.302732,6705.702548,7315.816623,8272.024358,8945.483755,9522.294178,10087.26515,10380.30783,10509.99224,10457.71409,10772.02187,11205.82219,10440.70689,10834.62877,11117.09478,11335.12856,11470.9865,11981.91636,11191.10258,11147.26358,11683.46255,12218.74486,12857.1643,14325.48102,15466.9528,15278.87405,13270.6971,12174.69786,11789.79908,12069.81138,11928.21847,12403.52822,12771.76758,13315.50863,13618.3597
Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,19387.31876,19477.7725,19254.58094,20062.63642,21045.68269,21872.08216,21887.69748,22975.29467,23723.84555,24868.99172,26132.67282,26275.63101,26806.41756,27089.75416,27496.26128,27526.55584,27957.20307,28638.4431,28561.19162,29396.67192,29921.6677,30433.62175,30926.45549,29864.03461,30880.52491,32060.12383,32817.89143,33132.29627,34446.31073,35178.07522,35896.80015,35304.81615,35033.39935,36093.5763,37134.41275,38093.45907,39054.47324,40151.82707,41554.11494,43143.58276,44313.31823,44564.97656,45786.64281,46575.41533,47880.61166,48760.35517,49408.05274,50955.05595,51770.90715,51689.91356,51936.88871,52475.66325,53553.23394,54008.70819,54546.20306,55017.24802,55731.49557,55925.93182
Austria,AUT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13031.03159,13677.46421,13953.95,14438.35666,15220.81972,15648.5267,16416.0054,16783.88969,17443.70498,18474.54001,19573.86688,20483.45329,21628.96612,22561.3705,23410.89027,23387.70638,24501.74933,25736.55121,25703.13738,27126.17818,27595.83476,27485.83215,28018.54088,28898.21885,28914.85659,29623.43413,30285.93319,30677.54399,31643.80896,32726.05943,33888.99559,34707.07123,35045.84429,34941.1434,35643.02768,36537.99304,37346.00743,38084.70138,39405.41603,40727.48494,42001.21116,42370.9316,42859.3294,43052.60307,43956.58266,44637.85641,45951.73469,47510.29379,48053.48308,46123.49069,46858.04327,48065.31671,48172.2377,47901.36543,47922.33985,47905.54315,48077.87836,49129.23366
Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3118.546587,3049.015995,2324.452977,1760.554651,1394.744209,1216.077917,1219.509349,1277.854124,1392.361194,1482.329773,1633.394435,1781.246395,1955.41315,2158.007171,2357.396026,2949.442818,3923.658154,4851.176909,5262.101356,5639.001689,5842.805784,5770.969703,5820.079847,6078.320649,6122.980489,6117.030862,5861.511962,5805.134535
Burundi,BDI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,214.1369545,181.2176775,193.9532398,198.1222216,206.289436,209.8035062,214.2711365,237.7556026,231.1709214,222.7248131,265.22918,268.6442076,248.6977905,263.2720844,258.4625885,256.5158152,271.8429572,296.556107,286.8181825,284.3611899,279.9589655,306.1015235,295.1747803,298.2041699,290.6602188,315.8728507,316.7423052,324.3796392,330.8669221,326.1822839,329.157781,337.7083512,333.9432189,307.123481,290.3198178,263.2708504,239.0396327,232.5068723,240.6275982,234.68485,228.2475687,227.428111,230.9961542,221.2274825,224.5155532,219.1865502,223.4035903,226.3044415,229.8347014,230.0531709,231.1943256,233.518126,235.7052879,239.3310654,243.1019118,226.5280582,218.2835284,212.5474221
Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13193.31494,13804.19935,14465.97743,14983.04261,15874.40469,16291.01966,16692.01699,17241.44737,17894.0438,19026.42965,20070.54797,20832.52408,21850.00287,23171.37936,24153.09916,23609.9371,24900.01711,25025.00988,25712.19412,26290.49418,27428.61189,27352.7296,27522.95363,27610.97542,28292.3926,28751.1591,29264.78991,29914.31547,31227.79175,32193.97931,33105.15524,33586.95831,33962.98639,33505.1655,34479.93755,35228.34192,35719.81023,36955.6362,37605.22806,38856.0635,40170.41893,40357.37076,40892.21772,41036.79826,42344.69483,42994.36365,43782.13955,44960.79786,44956.36733,43591.27188,44380.17663,44556.03681,44337.57677,44209.74335,44676.66073,45052.36535,45457.89934,46078.92909
Benin,BEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,520.40418,529.2973386,503.5990841,519.130656,544.4277629,563.1464387,572.453223,567.3836287,577.3054949,581.6103742,581.235119,560.1801106,583.0562431,591.0505322,596.6577082,553.9366482,545.1435766,557.932227,550.4265035,571.0725113,593.6195624,635.1174935,631.5271359,587.287626,616.0375005,643.5874763,638.7490428,611.0281364,613.2311803,577.5398833,609.3456238,614.0052941,610.5509018,623.9536552,615.1204456,631.1712235,638.0763307,654.5428116,660.6317814,675.6774816,694.2437489,709.4693622,720.168277,722.6671953,732.3354225,723.1999594,730.2752556,752.2152147,767.0318188,763.154718,757.6959074,758.5775214,773.1827226,805.9671602,833.6408777,827.8354579,837.1990377,859.9526858
Burkina Faso,BFA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,238.8545624,245.1985827,256.7771744,250.117852,252.2618318,257.9150775,255.2815312,273.3002182,276.9742042,277.7740911,273.3315155,272.4104604,273.8369546,270.1828957,287.2645617,290.3731086,309.1538507,304.2422268,311.8341788,316.4377466,311.8915691,317.6075453,339.5632919,332.2601799,318.1024319,336.4115864,353.888019,343.970455,354.4889765,352.6778596,341.3526172,362.47892,353.668786,356.1288634,351.1044587,361.121422,389.9654459,403.2169436,420.7234544,439.2997264,434.7633304,450.4522807,456.7341349,478.3043523,485.3074043,511.9675905,527.9623495,541.268695,563.4470651,562.8419354,575.4464527,595.3932481,615.0970843,631.6121844,639.7095507,645.3698606,663.9617629,688.5338914
Bangladesh,BGD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,370.5941716,382.0047722,391.4891838,378.5599524,407.6331236,401.533416,398.7081568,378.4483267,401.1804457,394.3095963,406.0307092,375.826581,317.7006037,323.0395869,347.9806292,327.1009505,337.602686,337.7132941,351.7077109,358.3477904,351.3761042,366.6663074,364.5382182,368.694026,376.2076611,378.487458,383.8124797,387.7558742,386.7755991,387.6728688,399.4839409,403.753799,416.1805241,426.3094413,433.4123441,445.9189173,456.2377101,466.7725442,480.8688331,493.2552199,509.2934347,525.0721107,535.2467234,550.8628057,570.336736,598.6174259,630.04818,666.4014472,698.564892,725.76626,757.6717572,797.4116804,839.5136872,879.5819661,922.161128,971.641988,1029.577979,1093.049274
Bulgaria,BGR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3223.808994,3370.529191,3439.028259,3548.132149,3660.068883,3758.340027,3917.514795,4148.593812,4597.475432,4498.55198,4162.815704,3849.186301,3607.793674,3582.856116,3660.401977,3781.903492,3828.246422,3809.686513,3967.996055,3750.493833,3955.275802,4186.920419,4532.853869,4804.484362,5152.414008,5561.163843,5988.770951,6476.054203,6914.398435,6709.527315,6843.26695,7019.174046,7062.134977,7162.997793,7299.548771,7612.022364,7967.708169,8311.930899
Bahrain,BHR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,21184.98284,19295.58522,17290.81807,17906.01635,18304.5727,16926.37474,16571.42667,17663.46571,18240.56619,17702.37559,17934.74305,19407.44365,20178.46516,22217.91332,21623.01568,21910.23988,22220.68291,22281.79511,22634.88847,22760.98699,22955.09349,22416.08185,22038.3312,22058.76333,22144.47339,22066.07113,21796.01514,21838.07457,21563.65067,20797.00522,20722.10389,20514.75639,20921.19971,21799.65217,22390.68285,22436.20753,22291.40425,22111.47724
"Bahamas, The",BHS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,17735.53884,18675.94371,19610.03485,20609.97087,21690.11607,22864.46394,23863.23561,25083.7502,26164.4717,27538.63563,25199.42138,24945.13535,23534.51912,24806.51609,20247.51814,16904.75788,17410.7457,18598.8715,20772.205,25627.21381,26692.07256,23696.72559,24724.11167,25054.74505,28004.86701,28772.84651,28745.57251,29085.10964,29253.76904,30692.41389,29673.81103,27912.42205,26338.44977,25929.35258,26287.30994,27021.62398,27801.66246,28060.56751,29071.01194,30775.25652,31587.59103,31856.08584,32080.35346,31013.63921,30629.72917,31023.04722,31180.61512,31031.231,29758.2498,28019.14864,27979.11493,27710.10196,28145.35866,27643.39521,27246.48486,27198.9076,26439.05364,26538.94563
Bosnia and Herzegovina,BIH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.5642943,866.9406721,1665.595366,2255.057369,2608.198841,2852.021041,3002.820841,3131.139402,3293.140249,3421.748431,3628.51644,3946.056679,4160.563103,4405.285059,4664.091803,4545.227666,4614.829041,4700.887837,4714.227206,4882.803667,4992.948867,5190.293777,5382.624146,5561.287951
Belarus,BLR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102.462776,3063.729909,2763.647483,2547.874012,2252.412454,2024.694736,2088.351553,2336.311677,2544.634654,2642.242333,2808.693996,2956.540618,3125.538912,3369.172108,3780.636232,4164.362013,4608.932088,5028.320019,5560.381904,5583.938524,6029.3968,6375.345039,6491.673382,6557.106572,6664.097249,6398.689735,6229.206745,6375.81729
Belize,BLZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1072.466343,1093.586874,1115.512608,1138.307246,1161.533928,1183.773804,1203.636776,1225.290455,1277.372491,1306.575402,1336.653555,1360.503922,1471.727423,1524.781884,1704.996701,1740.368793,1715.484942,1802.367485,1917.470948,2027.467587,2288.800689,2264.752224,2199.697144,2093.643567,2074.396431,2038.381001,2073.204865,2242.876243,2385.633385,2632.627454,2849.034593,3089.23044,3404.206807,3557.477256,3491.400762,3424.086115,3363.896311,3358.510525,3352.854539,3513.855276,3838.892488,3910.187257,3997.120685,4257.487388,4343.17724,4342.128891,4424.437379,4358.469001,4385.175932,4307.221118,4344.150177,4333.361776,4397.770641,4332.882536,4411.855979,4482.496647,4367.499876,4315.224989
Bermuda,BMU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,27838.39304,28436.71658,29006.57984,28640.87802,31041.95,31740.63552,35659.16125,39616.14199,39686.95535,40290.56883,42055.03047,43819.35839,44942.91915,45948.83383,46699.09897,48824.50177,52988.74551,55903.55906,56504.09149,57503.21894,61083.45095,62106.1318,58400.28398,59061.16971,58826.95497,57167.10189,60463.90879,62224.89178,64196.23243,63939.81157,63429.27677,61503.63836,61913.77723,63435.47315,63374.76685,65690.96417,66969.93314,69624.43634,71810.38407,73825.18485,79988.35001,84844.73838,83048.80311,85321.24327,86733.37007,87616.38597,91944.87381,94029.60803,94903.19153,89391.21118,88207.32756,86001.17117,81547.85524,79251.78166,,,,
Bolivia,BOL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1304.698762,1306.590629,1353.033192,1412.202022,1451.186017,1502.791345,1568.799402,1643.754978,1414.698631,1428.913478,1392.752071,1433.115409,1515.189991,1568.618475,1580.584762,1659.881104,1698.973726,1744.639778,1741.635394,1706.075285,1646.411228,1615.677734,1519.169845,1427.243352,1394.996155,1343.775859,1283.090638,1288.904716,1300.641995,1323.782972,1358.24104,1401.908378,1397.179916,1428.365691,1465.804068,1504.396744,1539.344885,1584.117204,1631.574881,1607.21011,1616.539156,1613.410823,1623.518787,1637.80851,1676.227947,1720.099032,1771.946897,1821.79722,1901.899802,1933.740102,1981.160705,2051.152292,2122.384564,2231.477241,2317.257186,2392.983973,2457.625962,2522.79392
Brazil,BRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3425.429969,3668.488081,3747.859889,3671.290247,3690.915115,3697.506274,3745.99592,3825.237717,4151.00984,4438.58864,4706.721192,5109.591337,5587.389915,6216.916462,6618.720013,6798.955914,7288.440152,7444.839467,7505.244475,7825.853328,8340.323105,7789.317901,7654.526882,7226.451582,7440.051027,7861.008992,8315.929824,8446.104349,8277.58858,8392.252841,7987.055216,7967.803378,7797.827261,8028.203927,8320.260475,8549.02152,8599.101647,8751.37999,8645.513397,8555.91567,8779.290799,8777.357134,8924.896961,8911.319512,9309.892056,9495.48465,9761.834283,10244.26715,10656.86947,10538.77828,11224.15408,11560.41875,11673.77054,11915.41705,11870.14841,11351.56575,10868.65344,10888.98239
Barbados,BRB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,10851.8423,10580.97006,10983.58674,11317.70634,11813.01514,12688.1391,13192.99958,12897.02318,12228.2991,12256.75155,12664.40769,12767.14471,13375.83003,13676.9881,14105.52698,14560.88969,14030.84532,13437.14437,12453.21836,12559.30509,12990.83456,13203.44163,13680.82333,14270.00273,14742.49,14747.96111,15035.4474,14629.16632,14703.12531,14983.54393,15146.96991,15700.07264,16532.82987,16762.70906,16708.74022,15974.09087,15959.02979,16011.6377,16003.55202,15951.20932,15901.90093,15998.0488,16273.40659,16503.47836
Brunei Darussalam,BRN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,45621.36146,43925.2391,50722.60813,54151.70302,55752.53855,66001.5809,59391.95115,46156.22482,46575.77808,45483.63118,44479.35391,42589.6833,40274.33884,39933.75513,39243.01702,37732.37517,37071.7353,37162.5406,37838.32056,36904.47506,37043.18167,37703.79173,37833.36477,36400.03739,35382.14265,35672.33991,35923.40183,36162.97793,36832.26623,37202.35794,36752.04732,36325.12073,37401.05316,36997.80726,35860.38878,34812.71469,35268.10117,36092.09698,35899.03737,34618.97291,33313.83278,32661.85702,31430.96266,31439.92372
Bhutan,BTN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,403.6577262,447.5384197,451.3607718,490.1359042,498.7035029,504.736547,545.5256892,677.5411984,688.1799795,721.2264193,789.2173342,785.9924537,831.0630503,861.1939215,915.4099031,983.2624759,1029.177663,1065.056766,1100.16152,1155.209758,1201.105785,1263.967767,1360.792252,1425.055174,1469.37315,1534.820745,1601.915802,1848.566255,1898.052794,1986.135618,2178.921383,2310.003655,2387.005674,2399.918916,2500.260145,2628.189614,2801.27524,2955.811114
Botswana,BWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,390.8297253,405.7986383,422.1720329,435.6898931,453.0789745,466.2621796,481.7858538,495.3852821,531.2139248,592.6713865,672.2273586,818.6845682,1000.809264,1173.45171,1232.455008,1288.411511,1372.390634,1478.521062,1625.449451,1753.756065,1891.409668,1988.884843,2153.104039,2353.797267,2471.157109,2563.033524,2687.317883,2917.436047,3384.480863,3718.485689,3860.008603,4034.260864,4040.426673,4010.787152,4053.436042,4237.567299,4386.851537,4641.80548,4585.739928,4939.598056,4954.77429,4891.914844,5115.899886,5280.215175,5349.002024,5512.811229,5883.899059,6270.474082,6552.776641,5948.853248,6346.156204,6610.331922,6779.393897,7409.421155,7574.282097,7308.760621,7485.043912,7523.21632
Central African Republic,CAF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,601.8528149,621.0423703,587.4395596,572.5818001,573.373814,567.4624098,559.565075,573.5603704,569.4400835,597.2747128,599.0127216,594.1229249,582.9505345,582.761473,607.5693555,597.3746752,616.0747736,624.9630058,617.369624,586.8629904,545.5198899,521.7662079,545.2842557,486.04359,517.0580989,523.405089,529.5187563,492.7217852,490.9906152,490.1670758,468.6909238,454.5293211,414.1763463,404.4071651,412.9998621,431.4989013,404.225168,415.7875336,425.6399074,431.4727716,411.9383943,421.659424,428.4774575,397.8115393,414.0304521,410.4150553,422.4389078,434.2507044,436.0739488,437.6016173,446.4436878,458.333018,475.6676415,300.4797421,302.5465308,314.9266856,325.7204657,335.0260856
Canada,CAN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,17664.2048,17861.9356,18780.56413,19389.15562,20301.65991,21260.63153,22242.41871,22482.64971,23294.30239,24188.42626,24629.21556,25262.44135,26216.59128,27571.29253,28080.94072,28057.04789,29128.01409,29783.26792,30651.63255,31502.0443,31769.78349,32477.29554,31060.645,31549.8017,33099.37445,34345.61396,34737.27532,35689.03422,36791.75964,36981.27877,36489.26635,35231.02121,35108.51904,35648.47799,36893.98189,37569.46824,37765.73245,38967.9531,40131.70183,41856.04559,43638.28315,43964.95459,44883.8284,45239.81139,46170.9202,47181.56239,48035.03579,48552.69643,48510.56777,46543.7922,47447.47602,48456.96457,48724.2458,49359.42247,50221.84198,50303.83685,50407.34133,51315.88897
Central Europe and the Baltics,CEB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7155.996245,6485.465298,6387.802279,6483.7493,6754.983814,7152.070799,7486.167958,7722.977674,7947.940392,8119.886811,8502.157814,8810.142586,9174.937398,9612.870124,10177.60014,10708.72928,11441.21337,12217.9349,12722.76819,12300.30218,12556.4916,13005.62315,13118.85387,13323.82218,13748.87857,14304.99423,14781.07226,15498.62776
Switzerland,CHE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,54891.43471,55466.16352,54420.97193,54534.42609,55973.70111,57774.34434,58542.71181,59098.51838,60588.59717,62703.5288,64343.51842,62962.39135,62244.79697,61602.79012,61889.66595,61773.0963,61833.00711,63127.73967,64822.29415,65607.20926,67807.92681,68264.52626,67860.24483,67385.29767,68781.61259,70471.43852,72823.83726,75143.70222,75793.63304,73189.19255,74605.72102,75029.75782,74984.13712,75499.70674,76410.85666,76472.45949,76682.6448,76667.44404
Channel Islands,CHI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3806.805729,3918.367037,3986.723236,4127.318878,4140.772497,4089.777077,4451.644575,4514.600589,4579.300856,4663.498273,4656.624327,5000.595728,4861.116667,4537.195933,4568.018745,3913.965055,4000.222991,4350.496587,4615.077416,4928.700804,5242.330136,5499.995724,4819.762115,4507.427992,4618.747802,4726.905668,4899.421795,5128.959203,5413.325325,5851.483445,5947.764828,6309.457648,6904.330444,7247.053536,7498.852089,8051.48659,8479.875279,8987.619522,9254.794789,9100.999171,9469.110468,9666.476055,9852.833928,10141.73198,10754.3066,11249.8679,11833.95202,12285.04838,12588.69122,12268.44115,12860.17764,13518.76508,14109.14333,14551.04442,14681.33076,14893.88065,14958.56225,15059.53014
China,CHN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,191.7911799,140.9134992,131.9633715,142.0219554,163.9913252,187.2746316,201.523242,185.0759275,172.9137524,196.7401269,228.3177028,237.8138384,240.8818889,253.714373,254.2674847,271.5994765,263.2306221,279.3245468,307.7661947,326.7683692,347.887413,361.2247106,387.7455809,423.5934988,481.3645958,538.6908273,578.1840404,635.494603,695.5990544,713.6895276,730.772489,787.8674352,888.9110041,1000.61181,1118.499577,1227.556407,1335.36268,1443.774742,1542.06413,1645.987996,1771.741506,1905.61078,2065.718579,2258.912105,2472.586556,2738.20546,3069.304781,3487.845766,3805.025999,4142.038286,4560.512586,4971.544929,5336.060143,5721.693819,6108.238775,6496.624013,6894.464522,7329.089299
Cote d'Ivoire,CIV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1205.260633,1276.476506,1242.732983,1367.323656,1545.873271,1441.024824,1548.586572,1560.951528,1692.163582,1782.177394,1886.621571,1975.73434,1966.848277,1987.834399,1978.003725,2042.967189,2202.090993,2256.93426,2391.923882,2341.661088,1994.715108,1976.282534,1896.960782,1747.939797,1632.645664,1639.958735,1629.995668,1565.437829,1527.156122,1517.069636,1448.033637,1398.22024,1346.798073,1298.844189,1266.531597,1314.119941,1372.790201,1382.621588,1410.738393,1396.999554,1336.42961,1310.286472,1264.222306,1224.968341,1218.12035,1216.208471,1210.668211,1207.087189,1211.623843,1223.510617,1219.749096,1138.664957,1229.7782,1305.709227,1384.910349,1469.730178,1552.861013,1632.677493
